"id","week_number","day_of_week","reading_title","reading_type","completed","completed_at"
"a087d90e-4acd-48c9-986d-148d6c77e615","50","3","Ezekiel 25-27","daily_reading","false",
"a32bd55d-ab23-4f02-986e-296d5db60573","24","1","1 Kings 6-8","daily_reading","false",
"a3fcbe84-05e4-401e-8079-2a84e66139c0","27",,"Memory: Psalm 139:1-6","memory_verse","false",
"a575cfac-2b74-439c-a888-39f30351f14f","16",,"Memory: Psalm 23:4-6","memory_verse","false",
"a6626baf-3ad3-40b8-80f9-146d1f91a955","9","3","Exodus 33-34","daily_reading","false",
"a79bb615-6675-4b1e-bc83-9605e0668017","1",,"Genesis 1:1 - In the beginning God created the heavens and the earth","memory_verse","false",
"a953c6f2-8c8b-40b6-87eb-d4809d50a5ae","26","4","2 Kings 22-25","daily_reading","false",
"aa18ca79-30ca-4961-996c-019c46584168","30","5","Psalm 58-60","daily_reading","false",
"aa345193-ffa2-4149-9dd4-57331909f5df","19","2","Judges 16-18","daily_reading","false",
"aacdda59-e640-489f-b02f-095e425d8ee1","20","5","1 Samuel 13-15","daily_reading","false",
"aad39b9d-d14e-4d51-bbd8-8be591c34999","4",,"Memory: Psalm 23:1-3","memory_verse","false",
"aae1743a-718d-4bf1-a7e1-2b0c6be50077","14","3","Deuteronomy 1-3","daily_reading","false",
"ab6b3b62-07cb-44d8-8d73-e0beb13a9173","11","3","Leviticus 19-21","daily_reading","false",
"acb3b3ad-dfe3-4617-b356-03d750096005","47","4","Jeremiah 40-42","daily_reading","false",
"b16a54e3-8a5c-48fa-b8bf-fc237bdf1f47","14",,"Memory: Psalm 23:4-6","memory_verse","false",
"b212c7ee-d12b-44ab-8d9f-bffadb1bd67c","9","2","Exodus 31-32","daily_reading","false",
"b2dfacd5-b92d-4ba9-90c7-d3311279c5a4","12","1","Numbers 1-3","daily_reading","false",
"b44f49de-20e6-4575-9a90-349f9c0e00c7","31","3","Psalm 67-69","daily_reading","false",
"b495e524-4e21-4596-bea4-cefa4f3000e0","15","5","Deuteronomy 22-24","daily_reading","false",
"b4bc0795-cf7c-4531-a0ce-cc59eb7ef4cc","23","3","2 Samuel 22-24","daily_reading","false",
"b69f2bb8-6d23-4dc9-b131-c168082f791c","49","3","Ezekiel 10-12","daily_reading","false",
"b70ed6ee-adb5-4a96-a915-e197b51d091b","32",,"Memory: Psalm 139:7-12","memory_verse","false",
"b7170b51-235f-467e-883f-ffefe8458623","5","2","Genesis 41","daily_reading","false",
"b76eee2a-da3e-4001-ac49-e27953244b51","40","1","Song of Solomon 1-3","daily_reading","false",
"b790fc65-bb55-4890-b5e4-112072ce7073","4","5","Genesis 37","daily_reading","false",
"b9603579-98e0-4f74-9e82-010215fea712","37",,"Memory: Psalm 139:13-18","memory_verse","false",
"ba5d163c-ea29-414c-af2e-b2db9f3e66e4","29","2","Psalm 34-36","daily_reading","false",
"bbc33d2a-98cc-4581-a397-88d703e14cf0","41","2","Isaiah 10-12","daily_reading","false",
"bd56f38d-d5e7-4213-bb04-bf0b30b06b0c","2","2","Job 40-42","daily_reading","false",
"be33ae7d-633c-4d3a-8ade-9bb833d26001","17","4","Joshua 16-18","daily_reading","false",
"bf69723c-6e1d-42fb-876c-f7c4937955db","22","1","2 Samuel 1-3","daily_reading","false",
"c076d262-5791-4871-a9d9-f95859ed5f0f","38","5","Proverbs 27-29","daily_reading","false",
"c10d0c6b-5f3e-46e3-8f1a-0a357784d05b","2",,"Genesis 12:1 - The Lord had said to Abram, Leave your country...","memory_verse","false",
"c12685d3-bee8-4962-9e4b-4fa0cf4e53db","25",,"Memory: Psalm 139:1-6","memory_verse","false",
